Component,Path,Description,IPC_Channels,Tests
"LibraryView","src/views/LibraryView.tsx","Shows project list, import controls, YouTube import, promote to benchmark","DOWNLOADER:DOWNLOAD; LIBRARY:CREATE_PROJECT; LIBRARY:RE_ANALYZE","src/__tests__/library.importSong.lyrics.test.js"
"SandboxView","src/views/SandboxView.tsx","Primary editor and playback interface; timeline, inspector, novelty visualizer, lyrics","ANALYSIS:GET_RESULT; ARCHITECT:FORCE_SPLIT (via children); UI:BLOCKS_UPDATE","N/A (integration tests recommended)"
"ArchitectPage","src/pages/Architect.jsx","Block sequencing workspace; create & edit arrangement blocks","ARCHITECT:UPDATE_BLOCKS","N/A"
"AnalysisTuner","src/components/tools/AnalysisTuner.jsx","Tune analysis parameters with preview and commit flows","ANALYSIS:RESEGMENT; ANALYSIS:RECALC_CHORDS; DB:SET_SETTING","N/A"
"LyricsPanel","src/components/lyrics/LyricsPanel.tsx","Display and edit lyrics; synced LRC and plain text support","LYRICS:GET","N/A"
"LyricDraftPanel","src/components/lyrics/LyricDraftPanel.tsx","Lyric draft editor per section; persists lyric drafts into block edits","LYRICS:GET","N/A"
"NoveltyCurveVisualizer","src/components/NoveltyCurveVisualizer.jsx","Visualizes novelty curve and peaks; allows manual split via click","ARCHITECT:FORCE_SPLIT","src/components/__tests__/NoveltyCurveVisualizer.test.jsx"
"ContextualInspector","src/components/grid/ContextualInspector.tsx","Inspector for grid selection (Split/Duplicate/Delete); calls editor callbacks","ARCHITECT:FORCE_SPLIT (suggestions); onSplitSection prop","src/components/grid/__tests__/ContextualInspector.test.tsx"
"NavigationTimeline","src/components/grid/NavigationTimeline.tsx","Timeline and seek controls; clicking peaks seek to time","(UI seek callback) onSeek","src/components/grid/__tests__/NavigationTimeline.test.tsx"
"AudioEngine","src/components/player/AudioEngine.tsx","Audio playback engine; uses HTMLAudioElement and app:// media streams","(app:// streaming; events)","N/A"
"EditorContext","src/contexts/EditorContext.tsx","Global editor state and actions (song, project, selection, playback, save)","ANALYSIS:GET_RESULT; DB:SET_SETTING; Editor actions to persist changes","N/A"
"BlocksContext","src/contexts/BlocksContext.jsx","Architect blocks state; syncs with main via ARCHITECT:UPDATE_BLOCKS","ARCHITECT:UPDATE_BLOCKS, UI:BLOCKS_UPDATE","N/A"
"LayoutContext","src/contexts/LayoutContext.tsx","Layout toggles and state for panels","(UI-level) - no direct IPC","N/A"
